Feature Extraction Technique,Feature Params,SVM Params,Normalization Method,Normalization Params,Feature Extraction Time,Normalization Time,Training Time,Validation Accuracy,Test Accuracy
GLRLM,{},"{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}",StandardScaler,{},718.807765007019,0.003953695297241211,0.15462040901184082,0.821656050955414,0.8060413354531002
GLRLM,{},"{'kernel': 'rbf', 'C': 100.0, 'gamma': 'scale'}",StandardScaler,{},699.7222256660461,0.003989458084106445,0.23337602615356445,0.8105095541401274,0.809220985691574
GLRLM,{},"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}",StandardScaler,{},674.3402938842773,0.0030014514923095703,0.12966227531433105,0.804140127388535,0.7996820349761526
GLRLM,{},"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}",StandardScaler,{},657.9109463691711,0.003951072692871094,0.13164901733398438,0.8057324840764332,0.7980922098569158
GLRLM,{},{'kernel': 'linear'},StandardScaler,{},695.7138624191284,0.003934144973754883,0.1536393165588379,0.7818471337579618,0.7647058823529411
GLRLM,{},"{'kernel': 'poly', 'degree': 2, 'C': 1.0}",StandardScaler,{},708.2333164215088,0.004022121429443359,0.1625959873199463,0.7611464968152867,0.7710651828298887
GLRLM,{},"{'kernel': 'poly', 'degree': 3, 'C': 1.0}",StandardScaler,{},683.4855844974518,0.004988193511962891,0.20545053482055664,0.785031847133758,0.7790143084260731
GLRLM,{},"{'kernel': 'linear', 'C': 0.1}",StandardScaler,{},743.3124430179596,0.0029921531677246094,0.12566661834716797,0.7738853503184714,0.7567567567567568
GLRLM,{},"{'kernel': 'linear', 'C': 10.0}",StandardScaler,{},739.876211643219,0.005014657974243164,0.33520984649658203,0.7882165605095541,0.7726550079491256
GLRLM,{},"{'kernel': 'sigmoid', 'C': 1.0}",StandardScaler,{},717.0593512058258,0.002995729446411133,0.18502068519592285,0.6385350318471338,0.6216216216216216
