Distances,Angles,Kernel,C,Extraction Time,Training Time,Validation Accuracy
[1],[0],linear,0.1,9.180402517318726,0.16071152687072754,0.7229299363057324
[1],[0],linear,1,12.507925987243652,0.1797323226928711,0.7292993630573248
[1],[0],linear,10,10.568828105926514,0.4666900634765625,0.7308917197452229
[1],[0],linear,100,8.873456954956055,8.064061164855957,0.7277070063694268
[1],[0],rbf,0.1,10.530850172042847,0.25554704666137695,0.7468152866242038
[1],[0],rbf,1,8.843508005142212,0.22928977012634277,0.7722929936305732
[1],[0],rbf,10,8.576939344406128,0.2244257926940918,0.7786624203821656
[1],[0],rbf,100,8.829045057296753,0.3310394287109375,0.7754777070063694
[1],[0],poly,0.1,8.793234586715698,0.18220186233520508,0.6767515923566879
[1],[0],poly,1,9.190264463424683,0.20895791053771973,0.7261146496815286
[1],[0],poly,10,8.941094398498535,0.3600475788116455,0.7356687898089171
[1],[0],poly,100,9.517553091049194,2.8912718296051025,0.7563694267515924
[1],[0.7853981633974483],linear,0.1,14.321114301681519,0.20180916786193848,0.7038216560509554
[1],[0.7853981633974483],linear,1,12.366726398468018,0.19254851341247559,0.7085987261146497
[1],[0.7853981633974483],linear,10,11.008730411529541,0.39729952812194824,0.7054140127388535
[1],[0.7853981633974483],linear,100,9.843912124633789,2.1047840118408203,0.7054140127388535
[1],[0.7853981633974483],rbf,0.1,13.703366756439209,0.28003406524658203,0.7292993630573248
[1],[0.7853981633974483],rbf,1,12.97981882095337,0.24513530731201172,0.7643312101910829
[1],[0.7853981633974483],rbf,10,9.530935049057007,0.25434064865112305,0.7611464968152867
[1],[0.7853981633974483],rbf,100,11.868989944458008,0.4180026054382324,0.7691082802547771
[1],[0.7853981633974483],poly,0.1,11.334614276885986,0.25616002082824707,0.660828025477707
[1],[0.7853981633974483],poly,1,11.64874815940857,0.20438647270202637,0.7117834394904459
[1],[0.7853981633974483],poly,10,11.420244693756104,0.476116418838501,0.7404458598726115
[1],[0.7853981633974483],poly,100,10.789838314056396,1.5695116519927979,0.7579617834394905
[1],[1.5707963267948966],linear,0.1,10.806588411331177,0.24167227745056152,0.6449044585987261
[1],[1.5707963267948966],linear,1,11.51402759552002,0.2127995491027832,0.6449044585987261
[1],[1.5707963267948966],linear,10,9.828225374221802,0.5310940742492676,0.6449044585987261
[1],[1.5707963267948966],linear,100,16.520592212677002,3.4986703395843506,0.6464968152866242
[1],[1.5707963267948966],rbf,0.1,9.789533138275146,0.26637816429138184,0.7085987261146497
[1],[1.5707963267948966],rbf,1,10.701744556427002,0.34909915924072266,0.7515923566878981
[1],[1.5707963267948966],rbf,10,9.940281629562378,0.2689952850341797,0.7547770700636943
[1],[1.5707963267948966],rbf,100,9.601749420166016,0.4401073455810547,0.7643312101910829
[1],[1.5707963267948966],poly,0.1,14.027438640594482,0.19070982933044434,0.64171974522293
[1],[1.5707963267948966],poly,1,10.354873418807983,0.21836376190185547,0.7006369426751592
[1],[1.5707963267948966],poly,10,10.089869022369385,0.41901540756225586,0.7229299363057324
[1],[1.5707963267948966],poly,100,9.750627994537354,2.2167270183563232,0.7404458598726115
[1],[2.356194490192345],linear,0.1,9.016342163085938,0.12119364738464355,0.7277070063694268
[1],[2.356194490192345],linear,1,9.123087406158447,0.18002080917358398,0.7245222929936306
[1],[2.356194490192345],linear,10,9.187910318374634,0.39816856384277344,0.7181528662420382
[1],[2.356194490192345],linear,100,10.966360807418823,2.3918094635009766,0.7213375796178344
[1],[2.356194490192345],rbf,0.1,10.456538200378418,0.3785579204559326,0.7579617834394905
[1],[2.356194490192345],rbf,1,10.690933227539062,0.27098727226257324,0.7802547770700637
[1],[2.356194490192345],rbf,10,10.870892524719238,0.27070021629333496,0.7914012738853503
[1],[2.356194490192345],rbf,100,9.091468095779419,0.397808313369751,0.7834394904458599
[1],[2.356194490192345],poly,0.1,11.003703594207764,0.24859285354614258,0.6687898089171974
[1],[2.356194490192345],poly,1,9.650148391723633,0.23976612091064453,0.7420382165605095
[1],[2.356194490192345],poly,10,10.082130432128906,0.3372156620025635,0.7595541401273885
[1],[2.356194490192345],poly,100,9.065200090408325,1.5492427349090576,0.767515923566879
[2],[0],linear,0.1,9.02829360961914,0.12034893035888672,0.7117834394904459
[2],[0],linear,1,9.268656969070435,0.18335771560668945,0.7070063694267515
[2],[0],linear,10,8.933781385421753,0.37703633308410645,0.7133757961783439
[2],[0],linear,100,8.746485948562622,2.7031607627868652,0.714968152866242
[2],[0],rbf,0.1,9.231243133544922,0.2563598155975342,0.7436305732484076
[2],[0],rbf,1,8.854012727737427,0.2003316879272461,0.7659235668789809
[2],[0],rbf,10,9.096399784088135,0.24552440643310547,0.7818471337579618
[2],[0],rbf,100,9.746762752532959,0.341733455657959,0.7914012738853503
[2],[0],poly,0.1,8.995146751403809,0.18977069854736328,0.6464968152866242
[2],[0],poly,1,9.00836992263794,0.20077943801879883,0.732484076433121
[2],[0],poly,10,9.052791833877563,0.31921887397766113,0.7547770700636943
[2],[0],poly,100,9.125862121582031,1.5839447975158691,0.7643312101910829
[2],[0.7853981633974483],linear,0.1,9.09009838104248,0.1259911060333252,0.7038216560509554
[2],[0.7853981633974483],linear,1,9.446435689926147,0.17317986488342285,0.7085987261146497
[2],[0.7853981633974483],linear,10,8.675145864486694,0.3762950897216797,0.7054140127388535
[2],[0.7853981633974483],linear,100,15.92606234550476,5.374999284744263,0.7054140127388535
[2],[0.7853981633974483],rbf,0.1,22.625869274139404,0.22902274131774902,0.7292993630573248
[2],[0.7853981633974483],rbf,1,8.196956872940063,0.21507477760314941,0.7643312101910829
[2],[0.7853981633974483],rbf,10,7.820478439331055,0.21880698204040527,0.7611464968152867
[2],[0.7853981633974483],rbf,100,7.899357795715332,0.3578312397003174,0.7691082802547771
[2],[0.7853981633974483],poly,0.1,7.7473671436309814,0.16274023056030273,0.660828025477707
